NAME, MODEL1, MODEL2, MODEL3, MODEL4
Aboda,10566,0,0,0
Abohba,27959,0,0,0
Abominable Messenger,10699,0,0,0
Abomination,12818,0,0,0
Abomination,36886,0,0,0
Abomination,1693,0,0,0
Abomination,10612,10613,0,0
Abomination,10612,10613,0,0
Abomination Wing Mad Scientist Stalker,1126,11686,0,0
Abomination Wing Orange Gas Stalker,1126,11686,0,0
Aborius,13444,0,0,0
Abra Cadabra,25880,0,0,0
Absalan the Pious,27540,0,0,0
Absolute Corruption,33565,0,0,0
Absolute Zero,23257,0,0,0
Absolute Zero (1),23257,0,0,0
Absolute Zero (2),23257,0,0,0
Absolute Zero (3),23257,0,0,0
Abyss Creature,18139,0,0,0
Abyssal Doombringer,39152,0,0,0
Abyssal Doombringer,39297,0,0,0
Abyssal Flamebringer,18139,0,0,0
Abyssal Flamewalker,16946,0,0,0
Abyssal Flamewalker (Display),22810,0,0,0
Abyssal Lure,35018,0,0,0
Abyssal Sands Fossil Ridge,328,0,0,0
Abyssal Seahorse,32500,0,0,0
Abyssal Seahorse,32500,0,0,0
Abyssal Seahorse,34956,0,0,0
Abyssal Seahorse,32500,0,0,0
Abyssal Seahorse,32510,0,0,0
Abyssal Seahorse, Action Trigger Test, Events,16480,0,0,0
Abyssal Seahorse, Action Trigger Test, Spells,16480,0,0,0
Abyssal Tentacle,32890,0,0,0
Abyssal Tentacle,32890,0,0,0
Abyssion,32230,0,0,0
Abyssion's Lair Mob Credit,21342,0,0,0
Acanthurus,5561,0,0,0
Accessories Vendor,4449,0,0,0
Accessories Vendor,4449,0,0,0
Accessories Vendor,23759,0,0,0
Accessories Vendor,23759,0,0,0
Accursed Apparition,4629,0,0,0
Accursed Longshoreman,35189,35190,9255,33195
Accursed Shipbuilder,0,35190,35302,0
Accursed Slitherblade,9135,0,0,0
Accursed Supplyman,0,35190,35302,0
Ace,29495,0,0,0
Ace,30051,0,0,0
Ace,30051,0,0,0
Ace,29495,0,0,0
Ace,29495,0,0,0
Ace,30051,0,0,0
Ace,29495,0,0,0
Ace,30051,0,0,0
Ace,30051,0,0,0
Ace,30051,0,0,0
Ace,29495,0,0,0
Ace,29495,0,0,0
Achellios the Banished,9418,0,0,0
Achelus,17173,0,0,0
Acherus Deathcharger,25280,0,0,0
Acherus Deathcharger,25678,0,0,0
Acherus Deathcharger,25678,25445,25278,0
Acherus Dummy,23980,24719,0,0
Acherus Dummy,19898,24719,0,0
Acherus Geist,25627,0,0,0
Acherus Ghoul,24993,24994,24995,0
Acherus Necromancer,25351,25352,0,0
Acherus Necromancer,25351,25352,0,0
Acherus Necromancer,25351,25352,0,0
Acherus Scourge Proxy,25627,24579,25170,0
Achievement Trigger Freya,169,11686,0,0
Acid Jet,15880,0,0,0
Acidic Globule,36110,0,0,0
Acidic Globule,39785,0,0,0
Acidic Globule (1),36110,0,0,0
Acidic Globule (1),39785,0,0,0
Acidic Globule (2),36110,0,0,0
Acidic Globule (3),36110,0,0,0
Acidic Swamp Ooze,11137,0,0,0
Acidmaw,29815,0,0,0
Acidmaw (1),29815,0,0,0
Acidmaw (2),29815,0,0,0
Acidmaw (3),29815,0,0,0
Acidmaw (Mobile),29816,0,0,0
Acidous,1062,0,0,0
Acolyte,24766,0,0,0
Acolyte (1),24766,0,0,0
Acolyte Dellis,5081,0,0,0
Acolyte Fenrick,4942,0,0,0
Acolyte Inquisitor,29314,0,0,0
Acolyte Magaz,4941,0,0,0
Acolyte of Agony,22196,0,0,0
Acolyte of Air,10315,0,0,0
Acolyte of Earth,21246,0,0,0
Acolyte of Fire,14508,0,0,0
Acolyte of Pain,23181,0,0,0
Acolyte of Shadron,8311,0,0,0
Acolyte of Shadron (1),8311,0,0,0
Acolyte of Vesperon,12894,0,0,0
Acolyte of Vesperon (1),12894,0,0,0
Acolyte of Water,14509,0,0,0
Acolyte Porena,4951,0,0,0
Acolyte Wytula,4943,0,0,0
Acride,9643,0,0,0
Acride,9642,0,0,0
Acride,36504,0,0,0
Acridostrasz,34531,0,0,0
Acroniss,1062,0,0,0
Acrypha,31365,0,0,0
Acteon,16860,0,0,0
Action Jaxon,19417,0,0,0
Activated Flameward,33947,0,0,0
Actor Evil (DND),184,0,0,0
Actor Good (DND),184,0,0,0
Adair Gilroy,1485,0,0,0
Adaleen Garner,35864,0,0,0
Adam,338,0,0,0
Adam Eternum,19538,0,0,0
Adam Hossack,35570,0,0,0
Adam Lind,12609,0,0,0
Adam Pressler,338,0,0,0
Adamman the Trader,26766,0,0,0
Adana Thunderhorn,31081,0,0,0
Adarrah,22403,0,0,0
Adarrah,22403,0,0,0
Adarrah,22403,0,0,0
Adarrah,22403,0,0,0
Adarrah,22403,0,0,0
Adarrah,22403,0,0,0
Adarrah,22403,0,0,0
Adarrah,31563,0,0,0
Adarrah,31563,0,0,0
Adarrah,22403,0,0,0
Adarrah,22403,0,0,0
Adarrah,22403,0,0,0
Adarrah,35953,0,0,0
Adarrah,22403,0,0,0
Adarrah,22403,0,0,0
Adarrah's Camel,37493,0,0,0
Adarrah's Camel,37493,0,0,0
Add Stalker,169,11686,0,0
Add Stalker,25204,0,0,0
Add Stalker (1),25204,0,0,0
Adder,1987,1206,0,0
Addled Leper,6920,6925,0,0
Adélaïde Sombrelueur, Rejetée d'Elune,11270,0,0,0
Adele,447,0,0,0
Adele Fielder,3335,0,0,0
Adelene Sunlance,24216,0,0,0
Adeline Chambers,24568,0,0,0
Adella,37389,0,0,0
Adene Treetotem,31870,0,0,0
Aderic's Repose Credit,203,0,0,0
Adjutant Tesoran,2953,0,0,0
Adlin Pridedrift,3388,0,0,0
Admiral Aubrey,31129,0,0,0
Admiral Barean Westwind,24957,0,0,0
Admiral Cantlebree,23062,0,0,0
Admiral Dvorek,32845,0,0,0
Admiral Dvorek,32845,0,0,0
Admiral Dvorek,32598,0,0,0
Admiral Hatchet,34181,0,0,0
Admiral Hatchet,34181,0,0,0
Admiral Hatchet,34181,0,0,0
Admiral Hatchet,34181,0,0,0
Admiral Nightwind,36847,0,0,0
Admiral Odesyus,16931,0,0,0
Admiral Ripsnarl,33062,0,0,0
Admiral Ripsnarl,35739,0,0,0
Admiral Ripsnarl (1),35739,0,0,0
Admiral Stonefist,33260,0,0,0
Admiral Stormblood,33503,0,0,0
Adolescent Nether Drake,20540,0,0,0
Adolescent Whelp,9582,0,0,0
Adon,18908,0,0,0
Adorean Lew,28159,0,0,0
Adrian Bartlett,4061,0,0,0
Adrihi,36925,0,0,0
Adrine Towhide,33913,0,0,0
Adrius,9282,0,0,0
Adult Plainstrider,1220,0,0,0
Advance Scout Chadwick,17087,0,0,0
Advance Scout Chadwick,17087,0,0,0
Advance Scout Chadwick,17087,0,0,0
Advanced Target Dummy,1555,0,0,0
Advanced Training Dummy,3019,0,0,0
Adventurous Dwarf,23005,11899,8659,9338
Advisor Belgrum,3598,0,0,0
Advisor Brightforge,3311,0,0,0
Advisor Duskingdawn,16846,0,0,0
Advisor Faila,18095,0,0,0
Advisor Kathem,35111,0,0,0
Advisor Sarophas,35996,0,0,0
Advisor Sarophas,16849,0,0,0
Advisor Sevel,16385,0,0,0
Advisor Sorrelon,16265,0,0,0
Advisor Sunsworn,16852,0,0,0
Advisor Valwyn,16117,0,0,0
Advisor Willington,12672,0,0,0
Adyen the Lightwarden,17881,0,0,0
Aean Swiftriver,4345,0,0,0
Aedan Moran,27021,0,0,0
Aedis Brom,1519,0,0,0
Aegalas,23907,0,0,0
Aeilara,33800,0,0,0
Aeldon Sunbrand,15906,0,0,0
Aelmar the Vanquisher,17317,0,0,0
Aelnara,35561,0,0,0
Aelthalyste,10723,0,0,0
Aelthin,28788,0,0,0
Aelus Goldmorn,29500,0,0,0
Aelyssa,1914,0,0,0
Aeman Brightsong,20266,0,0,0
Aemara,25875,0,0,0
Aendel Windspear,15358,0,0,0
Aeolos,8714,0,0,0
Aeolynn,2054,0,0,0
Aeonaxx,37149,0,0,0
Aeonaxx,37177,0,0,0
Aeonaxx,37149,0,0,0
Aeonus,20510,0,0,0
Aeonus (1),20510,0,0,0
Aeonus Image,22424,0,0,0
Aeosera,33443,0,0,0
Aer the Skymirror,1062,0,0,0
Aeranas,14502,0,0,0
Aerial Combat Test,11686,0,0,0
Aerial Command Unit,28979,0,0,0
Aerial Command Unit (1),28979,0,0,0
Aerie Ace,35673,35672,35674,35675
Aerie Gryphon,1149,0,0,0
Aerie Gryphon (1),1149,0,0,0
Aerie Gryphon (2),1149,0,0,0
Aerie Gryphon (3),1149,0,0,0
Aerie Peak Digsite,328,0,0,0
Aerie Peak Meat Vendor,12056,0,0,0
Aerie Peak Mining Trainer,12057,0,0,0
Aerin,31192,0,0,0
Aeris Landing Nexus-Guard,19626,0,0,0
Aerith Primrose,25983,0,0,0
Aessa Silverdew,38001,0,0,0
Aessina,32477,0,0,0
Aethalas,14873,0,0,0
Aetharon,35513,0,0,0
Aether Ray,21282,0,0,0
Aether-tech Adept,21500,0,0,0
Aether-tech Apprentice,21499,0,0,0
Aether-tech Assistant,21499,0,0,0
Aether-tech Master,21501,0,0,0
Aetherion,31938,0,0,0
Aethis,1062,0,0,0
Aeun,16262,0,0,0
Afflicted Gilnean,36800,0,36802,36803
Afflicted Gilnean,36800,0,36802,36803
Affray Challenger,4968,4971,4969,4970
Affray Spectator,4962,4963,4966,4967
Afha,24232,0,0,0
Afran,32219,0,0,0
Afrazi Forest Strider,21268,0,0,0
Afsaneh Asrar,27954,0,0,0
Ag'tor Bloodfist,7871,0,0,0
Ag'tor Bloodfist,7871,0,0,0
Agadai,21398,0,0,0
Agal,936,0,0,0
Agam'ar,4713,0,0,0
Agani,1062,0,0,0
Agate Mancrusher,32117,33681,33682,0
Agatha,33996,0,0,0
Agatha,33996,0,0,0
Agatha,33996,0,0,0
Agatha,33996,0,0,0
Agatha,33996,0,0,0
Agatha,33996,0,0,0
Agatha,33996,0,0,0
Agatha,33996,0,0,0
Agatha,36450,0,0,0
Agatha,36450,0,0,0
Agathelos the Raging,2450,0,0,0
Agatian Fallanos,37060,0,0,0
Aged Clefthoof,19581,0,0,0
Aged Dalaran Wizard,18,0,0,0
Aged Kodo,1308,1232,10914,0
Aged Magnataur,24848,0,0,0
Agee Tyler,4051,0,0,0
Agent Araxes,19675,0,0,0
Agent Kearnen,5783,0,0,0
Agent Proudwell,16130,0,0,0
Agent Skully,24576,0,0,0
Agent Ya-six,19675,0,0,0
Ageron Kargal,4107,0,0,0
Aggem Thorncurse,6097,0,0,0
Aggi Rumblestomp,13298,0,0,0
Aggi Rumblestomp (1),13298,0,0,0
Aggi Rumblestomp (2),13298,0,0,0
Aggi Rumblestomp (3),13298,0,0,0
Aggonis,15298,0,0,0
Aggra,29936,0,0,0
Aggra,36055,0,0,0
Aggra,35825,0,0,0
Aggra,35825,0,0,0
Aggra,35825,0,0,0
Aggra,38430,0,0,0
Aggra,38430,0,0,0
Aggra,35825,0,0,0
Aggra,35825,0,0,0
Aggra,23742,29936,0,0
Aggra,35825,0,0,0
Aggra,35825,0,0,0
Aggra,35825,0,0,0
Aggra,38692,0,0,0
Aggra,38692,0,0,0
Aggra,38692,0,0,0
Aggra,40068,0,0,0
Aggra,35825,0,0,0
Aggra,35825,0,0,0
Aggra,29936,0,0,0
Aggra,35825,0,0,0
Aggra,35825,0,0,0
Aggra,35825,0,0,0
Aggra,34405,0,0,0
Aggra,29936,0,0,0
Aggra,29936,0,0,0
Aggra's Air Totem,38566,0,0,0
Aggra's Earth Totem,38568,0,0,0
Aggra's Fire Totem,38565,0,0,0
Aggra's Water Totem,38567,0,0,0
Aggro Stalker,1126,0,0,0
Agitated Earth Spirit,549,0,0,0
Agitated Earth Spirit,1128,0,0,0
Agitated Fire Spirit,4607,0,0,0
Agitated Green Sand Crab,31993,32162,32163,0
Agitated Orc Spirit,17449,17458,17459,17460
Agitated Stratholme Citizen,25168,25169,0,0
Agitated Stratholme Resident,25313,25314,0,0
Agitated Tunneler,15880,0,0,0
Agitated Tunneler Transform,33761,0,0,0
Agloolik,24126,0,0,0
Agmar's Siegesmith,23905,23923,23924,23925
Agnar Beastamer,8929,0,0,0
Agnes Farwithers,7358,0,0,0
Agnes Flimshale,35623,0,0,0
Agnetta Tyrsdottar,25771,0,0,0
Agogridon,19715,0,0,0
Agol'watha Digsite,328,0,0,0
Agro 10,1507,0,0,0
Agro 5,1926,0,0,0
Agro 7,1491,0,0,0
Agustus Moulaine,1500,0,0,0
Ahab Wheathoof,21641,0,0,0
Ahanu,7623,0,0,0
Ahdi of Shadow Hall,7589,0,0,0
Ahemen,18481,0,0,0
Ahlurglgr,4920,0,0,0
Ahmo Thunderhorn,30271,0,0,0
Ahn'kahar Channeler,26922,0,0,0
Ahn'kahar Guardian,28079,0,0,0
Ahn'kahar Guardian (1),28079,0,0,0
Ahn'kahar Guardian Egg,26828,0,0,0
Ahn'kahar Guardian Egg (1),26828,0,0,0
Ahn'kahar Slasher,27324,0,0,0
Ahn'kahar Slasher (1),27324,0,0,0
Ahn'kahar Spell Flinger,23821,0,0,0
Ahn'kahar Spell Flinger (1),23821,0,0,0
Ahn'kahar Swarm Egg,26831,0,0,0
Ahn'kahar Swarm Egg (1),26831,0,0,0
Ahn'kahar Swarmer,28078,0,0,0
Ahn'kahar Swarmer,28078,0,0,0
Ahn'kahar Swarmer  (1),28078,0,0,0
Ahn'kahar Swarmer (1),28078,0,0,0
Ahn'kahar Watcher,27324,0,0,0
Ahn'kahar Watcher (1),27324,0,0,0
Ahn'kahar Web Winder,25768,0,0,0
Ahn'kahar Web Winder (1),25768,0,0,0
Ahn'Qiraj Trigger,16480,0,0,0
Ahonan,17212,0,0,0
Ahone,1062,0,0,0
Ahota Whitefrost,22115,0,0,0
Ahti,36323,0,0,0
Ahune,23344,0,0,0
Ahune (1),23344,0,0,0
Ahunite Coldwave,23504,0,0,0
Ahunite Coldwave (1),23504,0,0,0
Ahunite Frostwind,8714,0,0,0
Ahunite Frostwind (1),8714,0,0,0
Ahunite Hailstone,20433,0,0,0
Ahunite Hailstone (1),20433,0,0,0
Aid of the Frostwolf Camera,11686,0,0,0
Aidan Steeleye,25693,0,0,0
Aidan Summerwind,35214,0,0,0
Aiden,262,0,0,0
Aiery Barrier Totem,4587,0,0,0
Aiery Barrier Totem,19075,0,0,0
Aili Greenwillow,33357,0,0,0
Aimee,26330,0,0,0
Aimi,19335,0,0,0
Ainamiss the Hive Queen,37549,0,0,0
Ainderu Summerleaf,26376,0,0,0
Ainethil,10624,0,0,0
Air Current,11686,0,0,0
Air Defense Cannon,27754,0,0,0
Air Defense Cannon,36872,0,0,0
Air Elemental Force,21130,0,0,0
Air Force Alarm Bot (Aldor),20417,20577,0,0
Air Force Alarm Bot (Alliance),7288,11686,0,0
Air Force Alarm Bot (Area 52),20417,11686,0,0
Air Force Alarm Bot (Cenarion),20417,11686,0,0
Air Force Alarm Bot (Horde),19013,11686,0,0
Air Force Alarm Bot (Scryer),20417,11686,0,0
Air Force Alarm Bot (Sporeggar),20417,11686,0,0
Air Force Alarm Bot (Stormspire),20417,11686,0,0
Air Force Guard Post (Aldor - Gryphon),20698,11686,0,0
Air Force Guard Post (Alliance - Gryphon),20698,11686,0,0
Air Force Guard Post (Cenarion - Stormcrow),20698,11686,0,0
Air Force Guard Post (Ethereal - Stormspire),20698,11686,0,0
Air Force Guard Post (Goblin - Area 52 - Zeppelin),20698,11686,0,0
Air Force Guard Post (Horde - Bat Rider),20698,11686,0,0
Air Force Guard Post (Scryer - Dragonhawk),20698,11686,0,0
Air Force Guard Post (Sporeggar - Sporebat),20698,11686,0,0
Air Force Guard Post (Toshley's Station - Flying Machine),20698,11686,0,0
Air Force Trip Wire - Ground (Alliance),20690,11686,0,0
Air Force Trip Wire - Ground (Horde),20689,11686,0,0
Air Force Trip Wire - Rooftop (Aldor),20688,11686,0,0
Air Force Trip Wire - Rooftop (Alliance),20691,11686,0,0
Air Force Trip Wire - Rooftop (Cenarion Expedition),20688,11686,0,0
Air Force Trip Wire - Rooftop (Ethereal - Stormspire),20688,11686,0,0
Air Force Trip Wire - Rooftop (Goblin - Area 52),20688,11686,0,0
Air Force Trip Wire - Rooftop (Horde),20688,11686,0,0
Air Force Trip Wire - Rooftop (Scryer),20688,11686,0,0
Air Force Trip Wire - Rooftop (Sporeggar),20688,11686,0,0
Air Portal,32052,0,0,0
Air Ravager,33797,0,0,0
Air Spirit,8714,0,0,0
Air Support Fleet,11686,0,0,0
Air Support Fleet,11686,0,0,0
Air Totem,30756,0,0,0
Air Totem,4590,0,0,0
Air Totem,30756,0,0,0
Air Warden,36328,0,0,0
Air Warden (1),36328,0,0,0
Airae Starseeker,28766,0,0,0
Airborne Goblin Priest,30176,0,0,0
Airborne Priest,30176,0,0,0
Airborne Priest,30176,0,0,0
Airborne Priest Delivery Vehicle,25587,0,0,0
Airborne Priest Takeoff Controller,169,27823,0,0
Airfield Guard,3524,3525,3526,3527
Airman Skyhopper,23342,0,0,0
Airwyn Bantamflax,33676,0,0,0
Aiuran,1062,0,0,0
Aiyan Coldwind,23994,0,0,0
Aja,38419,0,0,0
Ajamon Ghostcaller,32283,0,0,0
Ajark,25386,0,0,0
Ajay Green,26373,0,0,0
Ajaye,11548,0,0,0
Ajeck Rouack,1658,0,0,0
Ajeck Rouack,1658,0,0,0
Ak'Zeloth,3887,0,0,0
Akali,26270,0,0,0
Akali Subduer,27308,27867,27868,27869
Akama,20681,0,0,0
Akama,21112,0,0,0
Akama,21318,0,0,0
Akama,20681,0,0,0
Akama Event Stalker,1126,20577,0,0
Akama Event Trigger,16480,0,0,0
Akasha,32120,0,0,0
Akham,17219,0,0,0
Akhenet Fields Digsite,328,0,0,0
Akhet,37169,0,0,0
Akiak,29825,0,0,0
Akiaruk,24056,0,0,0
Akil'zon,21630,0,0,0
Akil'zon,22256,0,0,0
Akil'zon,22256,0,0,0
Akil'zon (1),21630,0,0,0
Akinos,28600,0,0,0
Akkarai Hatchling,21003,6299,20738,20730
Akkiris Lightning-Waker,14515,0,0,0
Akkiris Lightning-Waker (1),14515,0,0,0
Akkrilus,1912,0,0,0
Akma'hat,34573,0,0,0
Akoru the Firecaller,19720,0,0,0
Akrittok,28922,0,0,0
Aku'mai,2837,0,0,0
Aku'mai Fisher,1244,0,0,0
Aku'mai Servant,110,0,0,0
Aku'mai Snapjaw,5026,0,0,0
Akubar the Seer,10920,0,0,0
Akuno,20961,0,0,0
Al'Akir,35248,0,0,0
Al'Akir (1),35248,0,0,0
Al'Akir (2),35248,0,0,0
Al'Akir (3),35248,0,0,0
Al'akir, Combat Reach Test,36062,0,0,0
Al'akir, Combat Reach Test (1),36062,0,0,0
Al'akir, Combat Reach Test (2),36062,0,0,0
Al'akir, Combat Reach Test (3),36062,0,0,0
Al'ar,18945,0,0,0
Al'tabim the All-Seeing,14995,0,0,0
Al'tabim the All-Seeing,14995,0,0,0
Aladrel Whitespire,35708,0,0,0
Alaindia,2203,0,0,0
Alamar Grimm,1930,0,0,0
Alamma,16787,0,0,0
Alana Moonstrike,30884,0,0,0
Alandien,20126,0,0,0
Alanna,344,0,0,0
Alanna,25696,0,0,0
